timestamp,location,potentialEvapotranspiration
2010-10-31T00:00:00,Lower,7.905600000000001
2010-11-01T00:00:00,Lower,6.9552000000000005
2010-11-02T00:00:00,Lower,6.9552000000000005
2010-11-03T00:00:00,Lower,7.6032
2010-11-04T00:00:00,Lower,8.5968
2010-11-05T00:00:00,Lower,8.0352
2010-11-06T00:00:00,Lower,8.0352
2010-11-07T00:00:00,Lower,7.6032
2010-11-08T00:00:00,Lower,7.4736
2010-11-09T00:00:00,Lower,6.739199999999999
2010-11-10T00:00:00,Lower,6.3072
2010-11-11T00:00:00,Lower,6.4799999999999995
2010-11-12T00:00:00,Lower,6.4368
2010-11-13T00:00:00,Lower,7.4304
2010-11-14T00:00:00,Lower,7.4304
2010-11-15T00:00:00,Lower,7.0847999999999995
2010-11-16T00:00:00,Lower,7.992
2010-11-17T00:00:00,Lower,7.4304
2010-11-18T00:00:00,Lower,8.0352
2010-11-19T00:00:00,Lower,7.4736
2010-11-20T00:00:00,Lower,8.5968
2010-11-21T00:00:00,Lower,7.344
2010-11-22T00:00:00,Lower,7.2576
2010-11-23T00:00:00,Lower,6.8256000000000006
2010-11-24T00:00:00,Lower,6.6096
2010-11-25T00:00:00,Lower,6.5664
2010-11-26T00:00:00,Lower,6.5664
2010-11-27T00:00:00,Lower,6.3936
2010-11-28T00:00:00,Lower,5.0976
2010-11-29T00:00:00,Lower,4.7951999999999995
2010-11-30T00:00:00,Lower,7.171200000000001
2010-12-01T00:00:00,Lower,7.344
2010-12-02T00:00:00,Lower,6.7824
2010-12-03T00:00:00,Lower,6.2208
2010-12-04T00:00:00,Lower,6.4368
2010-12-05T00:00:00,Lower,7.344
2010-12-06T00:00:00,Lower,6.6528
2010-12-07T00:00:00,Lower,6.6096
2010-12-08T00:00:00,Lower,5.0976
2010-12-09T00:00:00,Lower,5.1408000000000005
2010-12-10T00:00:00,Lower,5.1408000000000005
2010-12-11T00:00:00,Lower,4.4064
2010-12-12T00:00:00,Lower,7.0847999999999995
2010-12-13T00:00:00,Lower,7.6896
2010-12-14T00:00:00,Lower,5.7024
2010-12-15T00:00:00,Lower,5.1408000000000005
2010-12-16T00:00:00,Lower,5.054399999999999
2010-12-17T00:00:00,Lower,5.7456000000000005
2010-12-18T00:00:00,Lower,6.0912
2010-12-19T00:00:00,Lower,6.6528
2010-12-20T00:00:00,Lower,5.1408000000000005
2010-12-21T00:00:00,Lower,4.881600000000001
2010-12-22T00:00:00,Lower,4.2768
2010-12-23T00:00:00,Lower,3.8448
2010-12-24T00:00:00,Lower,4.32
2010-12-25T00:00:00,Lower,4.4928
2010-12-26T00:00:00,Lower,3.3264
2010-12-27T00:00:00,Lower,3.9743999999999997
2010-12-28T00:00:00,Lower,5.0976
2010-12-29T00:00:00,Lower,5.5296
2010-12-30T00:00:00,Lower,4.4928
2010-12-31T00:00:00,Lower,4.4496
2011-01-01T00:00:00,Lower,4.4928
2011-01-02T00:00:00,Lower,5.4864
2011-01-03T00:00:00,Lower,5.4864
2011-01-04T00:00:00,Lower,5.0112
2011-01-05T00:00:00,Lower,4.3632
2011-01-06T00:00:00,Lower,3.4991999999999996
2011-01-07T00:00:00,Lower,3.4128000000000003
2011-01-08T00:00:00,Lower,4.0176
2011-01-09T00:00:00,Lower,3.8448
2011-01-10T00:00:00,Lower,2.9808000000000003
2011-01-11T00:00:00,Lower,2.2032
2011-01-12T00:00:00,Lower,2.3328
2011-01-13T00:00:00,Lower,1.3392
2011-01-14T00:00:00,Lower,2.0736
2011-01-15T00:00:00,Lower,2.7216
2011-01-16T00:00:00,Lower,3.4991999999999996
2011-01-17T00:00:00,Lower,3.1536
2011-01-18T00:00:00,Lower,4.32
2011-01-19T00:00:00,Lower,4.4064
2011-01-20T00:00:00,Lower,5.4864
2011-01-21T00:00:00,Lower,3.8016
2011-01-22T00:00:00,Lower,3.5856000000000003
2011-01-23T00:00:00,Lower,1.944
2011-01-24T00:00:00,Lower,1.9008
2011-01-25T00:00:00,Lower,2.3328
2011-01-26T00:00:00,Lower,0.5616
2011-01-27T00:00:00,Lower,0.648
2011-01-28T00:00:00,Lower,0.0
2011-01-29T00:00:00,Lower,0.0
2011-01-30T00:00:00,Lower,1.2096
2011-01-31T00:00:00,Lower,1.6416
2011-02-01T00:00:00,Lower,1.08
2011-02-02T00:00:00,Lower,3.2399999999999998
2011-02-03T00:00:00,Lower,3.5423999999999998
2011-02-04T00:00:00,Lower,2.2464
2011-02-05T00:00:00,Lower,1.296
2011-02-06T00:00:00,Lower,1.4256
2011-02-07T00:00:00,Lower,0.7343999999999999
2011-02-08T00:00:00,Lower,1.2528
2011-02-09T00:00:00,Lower,0.5184
2011-02-10T00:00:00,Lower,0.0
2011-02-11T00:00:00,Lower,2.8512
2011-02-12T00:00:00,Lower,3.6288
2011-02-13T00:00:00,Lower,2.2896
2011-02-14T00:00:00,Lower,0.7776
2011-02-15T00:00:00,Lower,4.0608
2011-02-16T00:00:00,Lower,2.9808000000000003
2011-02-17T00:00:00,Lower,2.9808000000000003
2011-02-18T00:00:00,Lower,2.808
2011-02-19T00:00:00,Lower,2.2896
2011-02-20T00:00:00,Lower,2.0304
2011-02-21T00:00:00,Lower,2.6784
2011-02-22T00:00:00,Lower,3.024
2011-02-23T00:00:00,Lower,2.8944
2011-02-24T00:00:00,Lower,2.8944
2011-02-25T00:00:00,Lower,2.5056
2011-02-26T00:00:00,Lower,0.864
2011-02-27T00:00:00,Lower,1.3824
2011-02-28T00:00:00,Lower,1.3824
